trial_id,creation_date,start_date,completion_date,state,dev_test_combo,iterations,coord_interval,influence_tuning_batch_size,influence_tuning_epochs,influence_tuning_lr,num_train_epochs,seed
eegm8sz85w,2021-05-12 05:41:51.344513,2021-05-12 05:42:04.000000,2021-05-12 10:17:22.035695,COMPLETED,81875.774,,25,4,10,0.000003,20,2023
94yiiqz3v8,2021-05-12 05:28:21.875376,2021-05-12 05:28:24.000000,2021-05-12 09:48:18.809063,COMPLETED,75416.748,,25,16,10,0.000001,20,2021
tyf99udr66,2021-05-12 04:18:13.180545,2021-05-12 04:18:33.000000,2021-05-12 08:36:36.466336,COMPLETED,80208.76,,25,64,10,0.000003,20,2022
nkgvzt8pci,2021-05-12 03:54:46.991565,2021-05-12 03:54:50.000000,2021-05-12 08:29:10.618911,COMPLETED,75625.736,,25,4,10,0.000001,20,2023
w6a5awqr76,2021-05-12 05:38:29.841223,2021-05-12 05:38:47.000000,2021-05-12 07:52:38.894870,COMPLETED,75208.764,,50,16,10,0.000003,20,2025
gnr2yh32mm,2021-05-12 05:33:54.812717,2021-05-12 05:34:07.000000,2021-05-12 07:43:21.935369,COMPLETED,83958.824,,25,16,10,0.00001,10,2021
frqejepw6v,2021-05-12 03:12:22.305227,2021-05-12 03:12:54.000000,2021-05-12 07:38:36.398601,COMPLETED,80625.796,,25,64,10,0.00001,20,2025
tnrbzxrauk,2021-05-12 05:17:13.890750,2021-05-12 05:17:19.000000,2021-05-12 07:28:12.212430,COMPLETED,50000.5,,25,4,10,0.00003,10,2022
543f9hgmw9,2021-05-12 05:11:40.299700,2021-05-12 05:11:57.000000,2021-05-12 07:26:20.962215,COMPLETED,77916.764,,50,16,10,0.000003,20,2023
8yqbiga7pv,2021-05-12 05:02:50.345220,2021-05-12 05:03:01.000000,2021-05-12 07:12:15.688100,COMPLETED,77291.78,,25,4,10,0.000003,10,2023
xpnayf6qad,2021-05-12 05:45:11.775099,2021-05-12 05:52:21.000000,2021-05-12 06:57:17.805860,COMPLETED,75208.77,,50,16,5,0.000001,20,2023
kztzft7vi8,2021-05-12 04:47:15.533458,2021-05-12 04:47:29.000000,2021-05-12 06:55:19.682285,COMPLETED,82500.824,,50,64,10,0.00003,20,2022
gn9utfzfgh,2021-05-12 05:40:44.203888,2021-05-12 05:40:48.000000,2021-05-12 06:46:35.001822,COMPLETED,80833.796,,25,4,5,0.000003,10,2023
xg3ftcey6a,2021-05-12 04:38:19.368823,2021-05-12 04:38:29.000000,2021-05-12 06:46:23.289934,COMPLETED,79166.764,,50,64,10,0.000003,20,2022
u2rh6mernx,2021-05-12 02:06:32.921057,2021-05-12 02:15:39.000000,2021-05-12 06:41:10.656836,COMPLETED,50000.5,,25,4,10,0.00003,20,2025
tc5qbe8kip,2021-05-12 04:31:33.098498,2021-05-12 04:32:08.000000,2021-05-12 06:39:42.342986,COMPLETED,76458.774,,25,4,10,0.000001,10,2025
dvch4e3tdc,2021-05-12 04:12:40.307536,2021-05-12 04:12:54.000000,2021-05-12 06:28:30.971609,COMPLETED,79583.758,,25,4,5,0.000003,20,2022
3v2pdky4p5,2021-05-12 05:21:41.570660,2021-05-12 05:21:49.000000,2021-05-12 06:27:22.355536,COMPLETED,50000.5,,25,16,5,0.00003,10,2025
ga6ae4whjb,2021-05-12 04:04:49.527055,2021-05-12 04:04:59.000000,2021-05-12 06:25:27.811341,COMPLETED,77083.786,,25,4,5,0.000003,20,2021
pb8f3j8jyt,2021-05-12 01:43:04.361712,2021-05-12 01:43:07.000000,2021-05-12 06:09:00.146788,COMPLETED,79583.806,,25,4,10,0.000001,20,2025
dswrmrgv37,2021-05-12 03:53:39.681451,2021-05-12 03:53:53.000000,2021-05-12 06:08:42.110578,COMPLETED,50000.5,,25,16,5,0.00003,20,2025
4xd9w3ubs6,2021-05-12 00:59:40.523074,2021-05-12 01:28:29.000000,2021-05-12 06:04:45.043719,COMPLETED,78333.79,,25,64,10,0.00003,20,2021
kay2fjpq2y,2021-05-12 03:42:32.501701,2021-05-12 03:44:33.000000,2021-05-12 05:59:36.665868,COMPLETED,77083.768,,50,4,10,0.00001,20,2024
e3wypkysjq,2021-05-12 04:51:43.626250,2021-05-12 04:51:56.000000,2021-05-12 05:56:55.224438,COMPLETED,82500.788,,50,16,5,0.00001,20,2022
