trial_id,creation_date,start_date,completion_date,state,dev_test_combo,iterations,coord_interval,influence_tuning_batch_size,influence_tuning_instance_dropout,influence_tuning_lr,seed
2x4my67cs8,2021-05-13 04:55:19.560387,2021-05-13 04:55:24.000000,2021-05-13 05:55:05.795894,COMPLETED,76740.7666,,25,4,0.98,0.00003,2024
erap2svmb6,2021-05-13 04:52:58.788920,2021-05-13 04:53:04.000000,2021-05-13 05:52:31.655867,COMPLETED,86806.8640666667,,25,16,0.98,0.00003,2023
q9ti8r89g9,2021-05-13 04:47:12.412560,2021-05-13 04:47:14.000000,2021-05-13 05:46:10.715897,COMPLETED,90946.9098,,25,4,0.98,0.00003,2022
bz2m4mcjaj,2021-05-13 04:40:31.532564,2021-05-13 04:40:40.000000,2021-05-13 05:40:16.376077,COMPLETED,90540.9047333333,,25,4,0.98,0.00001,2023
vqsi6jaj6e,2021-05-13 04:31:35.109469,2021-05-13 04:31:51.000000,2021-05-13 05:31:05.410297,COMPLETED,92213.9188666667,,25,4,0.98,0.00001,2024
w82vsfy8qm,2021-05-13 04:29:21.956457,2021-05-13 04:29:24.000000,2021-05-13 05:28:33.103734,COMPLETED,94126.9401333333,,25,16,0.98,0.00003,2021
zcjx2etths,2021-05-13 04:28:13.275013,2021-05-13 04:28:31.000000,2021-05-13 05:25:43.862449,COMPLETED,56353.5583333333,,25,16,0.98,0.00003,2025
gsvx2djy8n,2021-05-13 04:22:40.161929,2021-05-13 04:22:57.000000,2021-05-13 05:23:55.459790,COMPLETED,75393.754,,25,16,0.98,0.00001,2021
qnzq7vz595,2021-05-13 04:18:13.516804,2021-05-13 04:18:24.000000,2021-05-13 05:16:52.349770,COMPLETED,90800.9079333333,,25,16,0.98,0.00003,2022
j7vnc3ypvj,2021-05-13 04:43:51.095649,2021-05-13 04:43:55.000000,2021-05-13 05:15:32.442632,COMPLETED,74153.7368,,50,16,0.98,0.000003,2025
72skrvqhm4,2021-05-13 04:54:11.470008,2021-05-13 04:54:16.000000,2021-05-13 05:13:03.791208,COMPLETED,70100.7029333333,,25,64,0.995,0.00003,2021
sf2xswbgfv,2021-05-13 04:52:58.151312,2021-05-13 04:53:06.000000,2021-05-13 05:12:30.670750,COMPLETED,74053.7416666667,,25,64,0.995,0.000003,2023
y4p7xch4b3,2021-05-13 04:54:10.645518,2021-05-13 04:54:16.000000,2021-05-13 05:12:31.868666,COMPLETED,83213.8275333333,,25,4,0.995,0.00001,2022
egvrbg3sjm,2021-05-13 04:39:24.820077,2021-05-13 04:39:43.000000,2021-05-13 05:11:10.494707,COMPLETED,75026.7464666667,,50,4,0.98,0.000003,2024
rcugd9sed8,2021-05-13 04:51:41.290143,2021-05-13 04:51:46.000000,2021-05-13 05:11:03.481003,COMPLETED,70280.6956666667,,25,16,0.995,0.00001,2021
3qdweevegp,2021-05-13 04:56:29.394941,2021-05-13 04:56:44.000000,2021-05-13 05:07:58.829468,COMPLETED,68753.6814666667,,50,64,0.995,0.00003,2024
7ast5e8ip3,2021-05-13 03:59:28.233192,2021-05-13 03:59:35.000000,2021-05-13 04:57:04.592789,COMPLETED,86560.8668,,25,64,0.98,0.00003,2023
ucjchfsasn,2021-05-13 04:24:54.230049,2021-05-13 04:25:13.000000,2021-05-13 04:55:45.286409,COMPLETED,95866.9605333333,,50,64,0.98,0.00003,2023
yhcit5bt3k,2021-05-13 04:23:47.847469,2021-05-13 04:23:52.000000,2021-05-13 04:55:27.232002,COMPLETED,80380.8018,,50,16,0.98,0.00001,2024
kkjzw45bpe,2021-05-13 04:22:40.937535,2021-05-13 04:22:55.000000,2021-05-13 04:55:07.382650,COMPLETED,71746.7161333333,,50,64,0.98,0.00001,2022
h2av6p5629,2021-05-13 04:21:33.523601,2021-05-13 04:21:53.000000,2021-05-13 04:53:46.367960,COMPLETED,79720.7933333333,,50,4,0.98,0.000003,2023
367qdcszva,2021-05-13 04:34:59.379112,2021-05-13 04:35:04.000000,2021-05-13 04:53:15.198983,COMPLETED,74053.7369333333,,25,4,0.995,0.00001,2024
kxik3w6x6d,2021-05-13 03:53:44.599889,2021-05-13 03:53:58.000000,2021-05-13 04:52:31.327415,COMPLETED,78926.7873333333,,25,64,0.98,0.00003,2022
7jkxht6i4x,2021-05-13 04:40:32.271236,2021-05-13 04:40:42.000000,2021-05-13 04:52:15.901240,COMPLETED,77000.7658,,50,64,0.995,0.000003,2022
7bcpsrfuen,2021-05-13 04:31:34.464509,2021-05-13 04:31:49.000000,2021-05-13 04:50:39.463084,COMPLETED,79120.7851333333,,25,4,0.995,0.00001,2023
uki2acba87,2021-05-13 04:14:54.223698,2021-05-13 04:15:09.000000,2021-05-13 04:46:25.079227,COMPLETED,71700.7108,,50,4,0.98,0.00001,2025
y825he5byf,2021-05-13 03:43:33.582014,2021-05-13 03:43:41.000000,2021-05-13 04:43:18.115704,COMPLETED,92740.9251333333,,25,4,0.98,0.00001,2025
grpzcvf2pb,2021-05-13 04:28:14.003417,2021-05-13 04:28:32.000000,2021-05-13 04:40:04.645108,COMPLETED,70046.6959333333,,50,16,0.995,0.00001,2025
ukuf6w4i38,2021-05-13 03:41:20.926154,2021-05-13 03:41:29.000000,2021-05-13 04:39:29.680163,COMPLETED,94226.9422666667,,25,64,0.98,0.00003,2024
qisskjzdxp,2021-05-13 04:27:06.682099,2021-05-13 04:27:10.000000,2021-05-13 04:38:23.117690,COMPLETED,73306.7269333333,,50,64,0.995,0.000003,2025
izazgre8dh,2021-05-13 03:33:25.397984,2021-05-13 03:33:30.000000,2021-05-13 04:33:49.329363,COMPLETED,88853.8882666667,,25,4,0.98,0.00001,2021
wvjywwkr48,2021-05-13 03:30:05.689764,2021-05-13 03:30:31.000000,2021-05-13 04:30:38.918812,COMPLETED,63773.6354,,25,64,0.98,0.000003,2021
k52hhgiza2,2021-05-13 03:59:27.476280,2021-05-13 03:59:36.000000,2021-05-13 04:30:31.978180,COMPLETED,69086.6873333333,,50,64,0.98,0.000003,2024
dfmx726m2p,2021-05-13 04:10:30.397615,2021-05-13 04:10:44.000000,2021-05-13 04:28:35.965391,COMPLETED,64973.6447333333,,25,64,0.995,0.00003,2022
9yjtwekuji,2021-05-13 04:07:11.086030,2021-05-13 04:07:16.000000,2021-05-13 04:27:20.581820,COMPLETED,64980.6488,,25,4,0.995,0.000003,2022
ak3asvv7nr,2021-05-13 03:27:52.545988,2021-05-13 03:28:22.000000,2021-05-13 04:27:17.770368,COMPLETED,83260.83,,25,4,0.98,0.000003,2023
4rduavp5z6,2021-05-13 03:26:44.445978,2021-05-13 03:27:06.000000,2021-05-13 04:26:37.039451,COMPLETED,66933.6736,,25,64,0.98,0.00001,2025
43x9ft9iun,2021-05-13 03:27:51.616816,2021-05-13 03:28:00.000000,2021-05-13 04:24:23.596375,COMPLETED,76046.7599333333,,25,16,0.98,0.000003,2025
dwezpnxtgb,2021-05-13 03:52:30.791699,2021-05-13 03:52:45.000000,2021-05-13 04:23:31.355822,COMPLETED,65306.6446,,50,64,0.98,0.00001,2023
ar97new3t7,2021-05-13 04:10:29.608743,2021-05-13 04:10:44.000000,2021-05-13 04:22:01.960562,COMPLETED,74993.7488666667,,50,64,0.995,0.000003,2021
d3eq2caxe8,2021-05-13 03:49:10.608289,2021-05-13 03:49:19.000000,2021-05-13 04:21:48.951280,COMPLETED,79206.791,,50,64,0.98,0.000003,2021
c3x3ynxaxx,2021-05-13 03:22:14.294248,2021-05-13 03:22:28.000000,2021-05-13 04:20:33.754582,COMPLETED,57826.5721333333,,25,4,0.98,0.00003,2025
gf3m63har3,2021-05-13 03:59:26.717558,2021-05-13 03:59:36.000000,2021-05-13 04:17:37.135464,COMPLETED,90386.9054,,25,16,0.995,0.00003,2021
qfht9kqs3e,2021-05-13 03:56:04.656387,2021-05-13 03:56:14.000000,2021-05-13 04:14:19.410674,COMPLETED,60013.6019333333,,25,16,0.995,0.00001,2025
fmm5bra2rk,2021-05-13 03:37:54.977503,2021-05-13 03:38:06.000000,2021-05-13 04:09:51.147534,COMPLETED,50000.5,,50,4,0.98,0.00003,2023
84ksfvm9cv,2021-05-13 03:58:20.079554,2021-05-13 03:58:27.000000,2021-05-13 04:09:51.060261,COMPLETED,72373.7215333333,,50,64,0.995,0.000003,2023
2ja3465qwg,2021-05-13 03:54:51.202932,2021-05-13 03:55:07.000000,2021-05-13 04:06:32.918495,COMPLETED,63233.6310666667,,50,64,0.995,0.00003,2025
33b2bsjn2b,2021-05-13 03:40:08.992961,2021-05-13 03:40:12.000000,2021-05-13 03:59:05.769421,COMPLETED,88853.8885333333,,25,64,0.995,0.00001,2023
5cn59jszbg,2021-05-13 03:26:43.579003,2021-05-13 03:27:02.000000,2021-05-13 03:58:55.243716,COMPLETED,81706.8196,,50,16,0.98,0.000003,2022
uae6tmekmp,2021-05-13 03:46:58.503598,2021-05-13 03:47:14.000000,2021-05-13 03:58:34.138427,COMPLETED,89186.8911333333,,50,4,0.995,0.00001,2023
ci42w3dit6,2021-05-13 03:39:02.359259,2021-05-13 03:39:04.000000,2021-05-13 03:58:02.732888,COMPLETED,87093.8716,,25,4,0.995,0.00003,2022
s6cdpxjttn,2021-05-13 03:36:44.368097,2021-05-13 03:37:05.000000,2021-05-13 03:55:11.554725,COMPLETED,75046.7518,,25,16,0.995,0.000003,2022
43j9ixnd3v,2021-05-13 03:43:34.632419,2021-05-13 03:43:49.000000,2021-05-13 03:54:47.337440,COMPLETED,86186.8628666667,,50,4,0.995,0.000003,2022
7c5fd295nw,2021-05-13 02:50:32.337985,2021-05-13 02:50:47.000000,2021-05-13 03:52:57.079030,COMPLETED,50000.5,,25,16,0.98,0.00003,2024
33vj4tqxsj,2021-05-13 02:54:01.843721,2021-05-13 02:54:20.000000,2021-05-13 03:52:16.822043,COMPLETED,65533.6522666667,,25,16,0.98,0.000003,2024
wpsbhg6iut,2021-05-13 03:36:45.274478,2021-05-13 03:37:10.000000,2021-05-13 03:48:22.494950,COMPLETED,90766.9049333333,,50,4,0.995,0.00001,2022
zvuijzwxmw,2021-05-13 02:48:14.662257,2021-05-13 02:48:29.000000,2021-05-13 03:46:42.048843,COMPLETED,66933.6655333333,,25,64,0.98,0.00001,2022
tgy2cdxmdg,2021-05-13 02:44:52.069719,2021-05-13 02:44:54.000000,2021-05-13 03:43:02.752891,COMPLETED,88513.8829333333,,25,16,0.98,0.000003,2022
b3xh5t6bax,2021-05-13 03:09:53.481954,2021-05-13 03:09:55.000000,2021-05-13 03:42:39.588197,COMPLETED,75040.7521333333,,50,4,0.98,0.000003,2025
rwyzhwkfjq,2021-05-13 03:28:59.271248,2021-05-13 03:29:13.000000,2021-05-13 03:40:37.863895,COMPLETED,76946.7564,,50,4,0.995,0.000003,2023
2s7niujbbc,2021-05-13 02:40:27.467979,2021-05-13 02:40:31.000000,2021-05-13 03:40:07.169427,COMPLETED,87540.8706666667,,25,16,0.98,0.000003,2023
zdjmsvmpdt,2021-05-13 02:39:20.510036,2021-05-13 02:39:31.000000,2021-05-13 03:38:34.261159,COMPLETED,69726.6943333333,,25,16,0.98,0.000003,2021
