trial_id,creation_date,start_date,completion_date,state,dev_test_combo,iterations,coord_interval,influence_tuning_batch_size,influence_tuning_epochs,influence_tuning_lr,num_train_epochs,seed
jqgjqjwha5,2021-05-12 22:16:27.063121,2021-05-12 23:37:32.000000,2021-05-13 04:47:52.854156,COMPLETED,50000.5,,50,4,5,0.00003,20,2025
d7wnw3bg88,2021-05-12 23:21:43.292051,2021-05-12 23:21:58.000000,2021-05-13 04:40:57.579267,COMPLETED,77291.782,,50,16,5,0.000001,20,2023
wwh8pgpi8m,2021-05-12 18:18:02.388208,2021-05-12 18:18:24.000000,2021-05-13 04:31:26.808682,COMPLETED,78750.79,,25,64,10,0.000003,10,2025
wtt3gbutuu,2021-05-12 18:30:52.394699,2021-05-12 18:31:22.000000,2021-05-13 04:29:50.752494,COMPLETED,77916.77,,50,64,10,0.00001,20,2022
5q2cbcpsu5,2021-05-12 17:59:11.008899,2021-05-12 18:02:17.000000,2021-05-13 04:26:42.888888,COMPLETED,80625.8,,50,16,10,0.00001,20,2024
r2bdy2hj9m,2021-05-12 18:10:55.665396,2021-05-12 18:11:22.000000,2021-05-13 04:18:19.238861,COMPLETED,58541.586,,25,16,10,0.00001,10,2023
jj7hkj5ydm,2021-05-12 23:19:21.509476,2021-05-12 23:19:41.000000,2021-05-13 04:18:09.530536,COMPLETED,77500.762,,25,4,5,0.000003,10,2023
mc8uzchbzq,2021-05-12 23:08:51.253146,2021-05-12 23:09:11.000000,2021-05-13 04:06:48.933374,COMPLETED,50000.5,,25,16,5,0.00003,10,2025
gh9xr8p7dw,2021-05-12 06:17:24.036143,2021-05-12 06:21:49.000000,2021-05-13 04:06:08.449800,COMPLETED,76041.758,,25,16,10,0.000003,20,2023
h7eau8siip,2021-05-12 22:45:33.728448,2021-05-12 22:45:36.000000,2021-05-13 03:46:22.347471,COMPLETED,80833.798,,50,16,5,0.00001,20,2022
e38h2rh5fc,2021-05-12 06:25:43.263017,2021-05-12 06:26:03.000000,2021-05-13 03:31:59.549680,COMPLETED,77500.792,,25,64,10,0.000001,20,2021
6ht6r4ux3f,2021-05-12 21:49:37.610349,2021-05-12 21:49:41.000000,2021-05-13 02:58:20.076264,COMPLETED,50000.5,,50,4,10,0.00001,10,2023
mgdqn874be,2021-05-12 15:47:44.307998,2021-05-12 15:47:52.000000,2021-05-13 02:38:43.870167,COMPLETED,80833.79,,25,64,5,0.000003,20,2022
