trial_id,creation_date,start_date,completion_date,state,dev_test_combo,iterations,coord_interval,influence_tuning_batch_size,influence_tuning_instance_dropout,influence_tuning_lr,seed
4t87cdptad,2021-05-13 02:29:51.938125,2021-05-13 02:30:02.000000,2021-05-13 05:30:36.656206,COMPLETED,50000.5,,25,4,0.98,0.00003,2024
9s37qc97ja,2021-05-12 20:32:32.224378,2021-05-13 02:21:12.000000,2021-05-13 05:20:12.616434,COMPLETED,86133.8606,,25,16,0.98,0.00001,2025
4peskzn3c8,2021-05-13 02:20:32.384549,2021-05-13 02:20:41.000000,2021-05-13 05:18:49.730076,COMPLETED,50000.5,,25,4,0.98,0.00003,2022
83td3wuvjj,2021-05-13 02:21:42.766108,2021-05-13 02:21:51.000000,2021-05-13 05:18:17.473380,COMPLETED,50000.5,,25,16,0.98,0.00003,2023
v36y6rmg7n,2021-05-13 01:15:07.004726,2021-05-13 02:27:25.000000,2021-05-13 05:17:24.805143,COMPLETED,82993.8318,,25,64,0.98,0.00003,2023
gjihewae9s,2021-05-13 02:15:50.642360,2021-05-13 02:16:05.000000,2021-05-13 05:16:59.669205,COMPLETED,71366.7082,,25,4,0.98,0.00001,2023
jf3e94tzzx,2021-05-13 02:01:47.681925,2021-05-13 02:01:54.000000,2021-05-13 05:04:58.055494,COMPLETED,50000.5,,25,16,0.98,0.00003,2021
h2nw7tjz2a,2021-05-13 02:06:26.294425,2021-05-13 02:06:36.000000,2021-05-13 05:04:24.959878,COMPLETED,74226.7335333333,,25,4,0.98,0.00001,2024
hekivnk26v,2021-05-12 21:22:53.482502,2021-05-13 02:03:08.000000,2021-05-13 05:02:53.074878,COMPLETED,50000.5,,25,4,0.98,0.00003,2023
2py3snuy4w,2021-05-13 02:01:48.482839,2021-05-13 02:01:54.000000,2021-05-13 04:59:42.028845,COMPLETED,87360.8725333333,,25,16,0.98,0.00003,2025
3a5t9vmz7e,2021-05-13 00:51:51.364668,2021-05-13 01:51:54.000000,2021-05-13 04:54:09.382949,COMPLETED,56760.5666666667,,25,4,0.98,0.00001,2025
h2ht4pwcdt,2021-05-13 01:54:48.134044,2021-05-13 01:54:51.000000,2021-05-13 04:50:45.788035,COMPLETED,82886.8291333333,,25,16,0.98,0.00001,2021
xatzyu6ce7,2021-05-13 01:41:57.234617,2021-05-13 01:42:06.000000,2021-05-13 04:45:36.980246,COMPLETED,50000.5,,25,16,0.98,0.00003,2022
8n9rsaimt7,2021-05-12 23:08:07.441839,2021-05-13 01:28:54.000000,2021-05-13 04:34:39.056710,COMPLETED,75986.7528,,25,16,0.98,0.000003,2023
y6qavc4aav,2021-05-13 01:04:38.295614,2021-05-13 01:28:49.000000,2021-05-13 04:25:40.048279,COMPLETED,87840.8780666667,,25,64,0.98,0.00003,2022
yzvk56pgry,2021-05-12 19:44:24.119573,2021-05-13 02:31:54.000000,2021-05-13 04:06:16.280824,COMPLETED,83953.8426666667,,50,16,0.98,0.00003,2025
42s8a54ndj,2021-05-13 02:10:01.228983,2021-05-13 02:31:53.000000,2021-05-13 04:04:05.265987,COMPLETED,81573.8136666667,,50,4,0.98,0.000003,2024
gex5zmnaei,2021-05-13 01:17:27.078986,2021-05-13 02:29:04.000000,2021-05-13 04:01:52.011285,COMPLETED,69660.6922,,50,64,0.98,0.000003,2024
