trial_id,creation_date,start_date,completion_date,state,dev_test_combo,iterations,confound_access_rate,seed
fut2ypabrk,2021-05-14 06:22:32.289131,2021-05-14 08:22:17.000000,2021-05-14 08:57:21.244054,COMPLETED,85846.8552666667,,0.2,2021
7qsaw6zshr,2021-05-14 06:22:18.275119,2021-05-14 08:22:15.000000,2021-05-14 08:53:01.990813,COMPLETED,90386.9048,,0.05,2021
f9vknd5uw4,2021-05-14 06:22:33.018823,2021-05-14 08:02:54.000000,2021-05-14 08:36:21.602155,COMPLETED,82886.8284,,0.1,2021
x5jvqbygvu,2021-05-14 06:22:30.893100,2021-05-14 07:45:31.000000,2021-05-14 08:31:11.357791,COMPLETED,88526.8810666667,,0.5,2021
3j8pdavu2a,2021-05-14 06:22:28.538331,2021-05-14 07:14:06.000000,2021-05-14 08:03:24.711707,COMPLETED,83973.8358666667,,0.5,2023
mtrwsqpjic,2021-05-14 06:22:38.266506,2021-05-14 07:11:34.000000,2021-05-14 07:58:58.280210,COMPLETED,80946.8090666667,,0.5,2022
rx2ht9me5b,2021-05-14 06:22:22.778571,2021-05-14 06:55:15.000000,2021-05-14 07:57:23.455806,COMPLETED,92213.9188666667,,1,2024
v567qt8nx6,2021-05-14 06:22:30.043912,2021-05-14 06:55:06.000000,2021-05-14 07:56:18.385222,COMPLETED,73573.7354666667,,1,2022
5pxxfkuvm6,2021-05-14 06:22:20.906737,2021-05-14 06:55:04.000000,2021-05-14 07:55:02.005942,COMPLETED,92740.9251333333,,1,2025
tvfu3g4mcy,2021-05-14 06:22:27.028842,2021-05-14 07:14:03.000000,2021-05-14 07:51:01.703369,COMPLETED,92006.9176666667,,0.2,2025
9ym2pip2tk,2021-05-14 06:22:36.408752,2021-05-14 07:13:51.000000,2021-05-14 07:46:45.802975,COMPLETED,88093.8779333333,,0.1,2025
sf49xvh6hf,2021-05-14 06:22:33.682625,2021-05-14 07:14:09.000000,2021-05-14 07:47:40.028879,COMPLETED,59673.595,,0.1,2022
x7h2xz2huw,2021-05-14 06:22:20.174897,2021-05-14 07:13:58.000000,2021-05-14 07:46:37.823636,COMPLETED,85873.8571333333,,0.1,2023
qxsi6byrtw,2021-05-14 06:22:21.831395,2021-05-14 07:13:50.000000,2021-05-14 07:45:31.605666,COMPLETED,83733.8349333333,,0.05,2025
hmb8cy2vvu,2021-05-14 06:22:26.017844,2021-05-14 06:42:22.000000,2021-05-14 07:45:31.674257,COMPLETED,90540.9047333333,,1,2023
76tdzmbxdv,2021-05-14 06:22:35.690960,2021-05-14 06:55:12.000000,2021-05-14 07:41:57.546381,COMPLETED,81226.8085333333,,0.5,2025
bztr4vc3pp,2021-05-14 06:22:34.913016,2021-05-14 06:54:53.000000,2021-05-14 07:40:19.720986,COMPLETED,80600.8054,,0.5,2024
uzez8jmjfp,2021-05-14 06:22:27.834093,2021-05-14 07:06:53.000000,2021-05-14 07:38:32.338929,COMPLETED,77013.768,,0.05,2022
6kecssscfb,2021-05-14 06:22:29.293776,2021-05-14 06:55:12.000000,2021-05-14 07:32:37.168576,COMPLETED,74333.7457333333,,0.2,2022
mr87pfe9w8,2021-05-14 06:22:37.560511,2021-05-14 06:55:14.000000,2021-05-14 07:31:01.739911,COMPLETED,85593.8564666667,,0.2,2023
e39g52mdxx,2021-05-14 06:22:25.014733,2021-05-14 06:55:19.000000,2021-05-14 07:30:14.140012,COMPLETED,71366.703,,0.2,2024
79mrjkzni2,2021-05-14 06:22:19.244221,2021-05-14 06:55:14.000000,2021-05-14 07:28:22.543380,COMPLETED,92186.9195333333,,0.1,2024
2tz7gfbdv6,2021-05-14 06:22:24.203366,2021-05-14 06:55:20.000000,2021-05-14 07:26:57.040672,COMPLETED,87213.8679333333,,0.05,2023
nvbbcnunwi,2021-05-14 06:22:15.998878,2021-05-14 06:22:45.000000,2021-05-14 07:24:20.225425,COMPLETED,88853.8882666667,,1,2021
geykrz44iw,2021-05-14 06:22:16.915805,2021-05-14 06:22:43.000000,2021-05-14 06:54:21.897663,COMPLETED,87420.8692,,0.05,2024
