trial_id,creation_date,start_date,completion_date,state,dev_test_combo,iterations,confound_access_rate,seed
nd6anv9jui,2021-05-14 06:19:31.665305,2021-05-14 08:22:14.000000,2021-05-14 09:56:57.646350,COMPLETED,91646.916,,1,2024
k6uue5dzia,2021-05-14 06:19:44.535249,2021-05-14 08:22:17.000000,2021-05-14 09:48:10.661315,COMPLETED,92226.9191333333,,0.5,2024
ijjzkuad27,2021-05-14 06:19:40.175340,2021-05-14 08:14:10.000000,2021-05-14 09:44:44.905873,COMPLETED,91873.9202666667,,1,2022
vqay9rythw,2021-05-14 06:19:41.883641,2021-05-14 08:22:10.000000,2021-05-14 09:42:11.259551,COMPLETED,92326.924,,0.2,2021
fiexzqwkrw,2021-05-14 06:19:35.165820,2021-05-14 07:55:25.000000,2021-05-14 09:15:11.306512,COMPLETED,50000.5,,0.2,2025
92nn5t68k8,2021-05-14 06:19:46.185401,2021-05-14 07:51:01.000000,2021-05-14 09:09:23.821829,COMPLETED,50000.5,,0.1,2025
cuzw9zzgk9,2021-05-14 06:19:45.463079,2021-05-14 07:46:45.000000,2021-05-14 09:08:54.145685,COMPLETED,54326.5433333333,,0.5,2025
79grmhzyy2,2021-05-14 06:19:47.170543,2021-05-14 07:41:57.000000,2021-05-14 09:04:29.895661,COMPLETED,80186.8042666667,,0.2,2023
x6f26zbu32,2021-05-14 06:19:34.332356,2021-05-14 07:13:51.000000,2021-05-14 08:49:25.146624,COMPLETED,91626.9171333333,,1,2023
ih48iixcch,2021-05-14 06:19:32.527237,2021-05-14 07:28:23.000000,2021-05-14 08:46:20.737929,COMPLETED,50000.5,,0.05,2023
pqvuv2ikip,2021-05-14 06:19:29.370805,2021-05-14 07:14:14.000000,2021-05-14 08:45:31.702117,COMPLETED,83953.8426666667,,1,2025
p5fwe8tvrv,2021-05-14 06:19:37.984000,2021-05-14 07:21:07.000000,2021-05-14 08:44:13.770590,COMPLETED,99206.9925333333,,0.5,2023
p79zbmvkb3,2021-05-14 06:19:48.721180,2021-05-14 07:14:06.000000,2021-05-14 08:37:10.842250,COMPLETED,89726.8955333333,,0.5,2022
mgcvibpubd,2021-05-14 06:19:41.022659,2021-05-14 07:10:52.000000,2021-05-14 08:36:39.667850,COMPLETED,50000.5,,0.5,2021
8r7m4eur3t,2021-05-14 06:19:39.263953,2021-05-14 07:14:11.000000,2021-05-14 08:35:45.079849,COMPLETED,85113.8520666667,,0.2,2022
mk2knqb4w5,2021-05-14 06:19:43.784422,2021-05-14 07:14:04.000000,2021-05-14 08:32:33.542138,COMPLETED,82666.8309333333,,0.1,2022
vurjsubiu6,2021-05-14 06:19:27.660669,2021-05-14 07:06:40.000000,2021-05-14 08:26:20.184787,COMPLETED,82846.8297333333,,0.1,2024
ih9yez4fzv,2021-05-14 06:19:30.319727,2021-05-14 06:54:53.000000,2021-05-14 08:13:47.101850,COMPLETED,50000.5,,0.05,2025
63ubwyca87,2021-05-14 06:19:33.337502,2021-05-14 06:55:22.000000,2021-05-14 08:12:41.043062,COMPLETED,78140.7756,,0.2,2024
ck8bs4a4xb,2021-05-14 06:19:36.044868,2021-05-14 06:55:02.000000,2021-05-14 08:12:10.568890,COMPLETED,93546.937,,0.05,2022
khw3c6s4xh,2021-05-14 06:19:26.895587,2021-05-14 06:55:13.000000,2021-05-14 08:09:45.668806,COMPLETED,59380.5947333333,,0.05,2021
93yveujpec,2021-05-14 06:19:42.679697,2021-05-14 06:46:36.000000,2021-05-14 08:03:13.931253,COMPLETED,75440.7537333333,,0.1,2021
2h624jcbqq,2021-05-14 06:19:28.399072,2021-05-14 06:33:10.000000,2021-05-14 07:55:11.334834,COMPLETED,50000.5,,0.1,2023
z79xepe384,2021-05-14 06:19:25.192544,2021-05-14 06:19:27.000000,2021-05-14 07:50:57.111495,COMPLETED,81300.8152,,1,2021
d24gvnz3wx,2021-05-14 06:19:26.081943,2021-05-14 06:19:27.000000,2021-05-14 07:36:46.276418,COMPLETED,92620.9205333333,,0.05,2024
