trial_id,creation_date,start_date,completion_date,state,dev_test_combo,iterations,confound_access_rate,seed
x7t2eg5i3p,2021-05-14 06:10:08.925089,2021-05-14 08:22:10.000000,2021-05-14 09:29:26.809108,COMPLETED,84791.83,,1,2024
zft4vgazzc,2021-05-14 06:10:18.664734,2021-05-14 08:22:10.000000,2021-05-14 09:22:34.901470,COMPLETED,50000.5,,0.5,2021
64tb6qnz4a,2021-05-14 06:10:23.832652,2021-05-14 08:22:10.000000,2021-05-14 09:21:15.339652,COMPLETED,84583.844,,0.5,2025
9rjcwn3kyn,2021-05-14 06:10:19.584630,2021-05-14 08:22:17.000000,2021-05-14 09:18:00.083312,COMPLETED,76250.79,,0.2,2021
hhwjtfyu8w,2021-05-14 06:10:24.772837,2021-05-14 08:22:17.000000,2021-05-14 09:16:12.586429,COMPLETED,81666.818,,0.1,2025
y8bdnxcq53,2021-05-14 06:10:16.322871,2021-05-14 08:17:13.000000,2021-05-14 09:13:40.043887,COMPLETED,80833.804,,0.2,2022
pqbzgyijm9,2021-05-14 06:10:15.471173,2021-05-14 08:12:10.000000,2021-05-14 09:10:46.068134,COMPLETED,80416.802,,0.5,2023
pty7b64tur,2021-05-14 06:10:17.309080,2021-05-14 07:54:30.000000,2021-05-14 09:03:39.350905,COMPLETED,80833.796,,1,2022
mmji2hq3gv,2021-05-14 06:10:26.476326,2021-05-14 07:13:54.000000,2021-05-14 08:12:47.713001,COMPLETED,79583.786,,0.5,2022
ezb9j98xsf,2021-05-14 06:10:13.581544,2021-05-14 07:14:03.000000,2021-05-14 08:11:51.071994,COMPLETED,80625.798,,0.2,2025
2zhjnutsda,2021-05-14 06:10:22.540656,2021-05-14 07:11:42.000000,2021-05-14 08:11:24.065168,COMPLETED,50000.5,,0.5,2024
3a6n9c4pqe,2021-05-14 06:10:25.654128,2021-05-14 07:13:54.000000,2021-05-14 08:11:15.565391,COMPLETED,82291.798,,0.2,2023
7mg2c77vfc,2021-05-14 06:10:08.241277,2021-05-14 07:14:01.000000,2021-05-14 08:09:24.337236,COMPLETED,81458.788,,0.05,2025
pzmzm2hu6x,2021-05-14 06:10:14.690267,2021-05-14 07:14:09.000000,2021-05-14 08:07:24.604381,COMPLETED,80000.776,,0.05,2022
qivp54mtfz,2021-05-14 06:10:07.485504,2021-05-14 06:55:20.000000,2021-05-14 08:02:54.753959,COMPLETED,84583.828,,1,2025
vb8jp2m66t,2021-05-14 06:10:10.427848,2021-05-14 06:55:20.000000,2021-05-14 07:55:25.696739,COMPLETED,79166.774,,0.05,2023
wdr9y3m9u5,2021-05-14 06:10:11.402328,2021-05-14 06:55:20.000000,2021-05-14 07:54:29.903320,COMPLETED,82708.832,,0.2,2024
iq2jwj6d7v,2021-05-14 06:10:20.481074,2021-05-14 06:55:20.000000,2021-05-14 07:51:53.404228,COMPLETED,80833.802,,0.1,2021
haaq8822x4,2021-05-14 06:10:21.598559,2021-05-14 06:55:03.000000,2021-05-14 07:50:32.367842,COMPLETED,75833.762,,0.1,2022
6h3agn2siv,2021-05-14 06:10:12.262650,2021-05-14 06:19:37.000000,2021-05-14 07:23:19.051065,COMPLETED,81041.808,,1,2023
8wcfyspvke,2021-05-14 06:10:02.935425,2021-05-14 06:10:18.000000,2021-05-14 07:15:34.471931,COMPLETED,86875.848,,1,2021
mhipu7xfw8,2021-05-14 06:10:05.808804,2021-05-14 06:10:23.000000,2021-05-14 07:06:04.382031,COMPLETED,84791.852,,0.1,2024
42g5n7u8it,2021-05-14 06:10:06.621849,2021-05-14 06:10:24.000000,2021-05-14 07:04:49.202751,COMPLETED,81041.806,,0.1,2023
89cys4n5hh,2021-05-14 06:10:03.759083,2021-05-14 06:10:26.000000,2021-05-14 07:03:27.898048,COMPLETED,79166.796,,0.05,2024
m6rr39ags5,2021-05-14 06:10:04.860693,2021-05-14 06:10:26.000000,2021-05-14 07:03:15.933862,COMPLETED,82083.808,,0.05,2021
